gene_name	rank	peaktime	Peaktime	periodicity_pvalue
CDKN3	41	0	G1	3.82E-16
HSPA8	115	0	G1	1.58E-09
MSL1	196	0	G1	2.00E-09
NXF1	201	0	G1	5.31E-10
SORBS2	211	0	G1	2.23E-05
AFAP1	311	0	G1	8.45E-06
UBE2D3	331	0	G1	1.17E-08
ZNF248	369	0	G1	0.00011047
PTTG1	37	1	G1	4.89E-18
TSC22D1	262	1	G1	7.48E-08
GSE1	329	1	G1	7.40E-08
HIF1A	266	2	G1	6.24E-09
DDX58	273	2	G1	1.28E-05
LARP1	328	2	G1	3.45E-09
ANTXR1	154	3	G1	2.34E-10
ETV4	236	3	G1	0.00472805
IFIT2	292	3	G1	0.0002927
SEPHS1	367	3	G1	4.15E-09
DYNLL1	172	4	G1	2.87E-09
SLC39A10	222	4	G1	7.29E-09
CNIH4	237	4	G1	4.70E-10
NCOA3	385	4	G1	4.40E-08
DKC1	231	6	G1	1.29E-09
DNAJB6	308	6	G1	1.25E-09
AOC2	210	7	G1	1.50E-10
XPR1	396	7	G1	0.000315985
OPN3	187	8	G1	2.20E-10
KMO	188	8	G1	2.20E-10
TMED7	267	8	G1	9.85E-08
RPL37	389	8	G1	2.01E-06
GRPEL1	173	9	G1	3.51E-12
ZCCHC14	335	9	G1	9.92E-06
NR2F6	348	10	G1	4.49E-09
FAM189B	383	11	G1	5.23E-07
FAM84B	350	15	G1	2.00E-08
HSPA4	394	15	G1	4.77E-07
HIST2H2BE	228	22	G1	1.35E-06
SLC1A3	275	25	G1	4.64E-08
C1orf63	226	30	G1	2.57E-06
HORMAD1	253	31	G1	4.90E-08
XBP1	284	32	G1	2.61E-07
SLBP	87	34	G1	7.97E-14
CCNE1	36	35	G1	3.12E-15
CDCA7	148	36	G1	2.83E-11
CDC25A	392	38	G1	1.28E-08
ZNF367	48	39	G1	7.34E-14
SKP2	151	39	G1	2.55E-11
UNG	234	39	G1	2.19E-08
PLCXD1	302	39	G1	1.27E-05
ZRANB2	174	40	G1	3.08E-10
NASP	290	41	G1	1.20E-09
INTS8	354	41	G1	4.69E-07
CCNE2	355	41	G1	4.69E-07
DTL	13	42	G1	2.16E-17
TRMT2A	264	43	G1	1.72E-10
MCM6	114	44	G1	2.50E-14
IVNS1ABP	159	44	G1	8.12E-12
MAP2K6	300	44	G1	1.33E-05
ALKBH7	379	44	G1	8.49E-08
SERPINB4	117	45	G1/S	4.74E-13
MBOAT1	178	45	G1/S	1.12E-11
MCM2	242	45	G1/S	2.26E-10
CDC6	40	46	G1/S	6.56E-17
MCM5	67	46	G1/S	5.99E-12
E2F2	98	46	G1/S	1.40E-14
E2F1	134	46	G1/S	1.21E-09
CREBZF	322	46	G1/S	5.52E-07
WDR76	163	47	G1/S	3.99E-10
GMNN	202	47	G1/S	4.10E-11
ATRIP	305	47	G1/S	1.17E-06
UBR5	306	47	G1/S	1.17E-06
MSH2	374	47	G1/S	6.98E-08
ORC1	128	48	G1/S	2.83E-13
FAM111B	125	49	G1/S	2.15E-08
PCNA	43	50	G1/S	6.51E-18
GINS2	184	50	G1/S	2.02E-09
ARGLU1	215	50	G1/S	5.51E-09
